Activity1,Activity2,index,It helps to get points in,Required for,Perfect substitute for ,Required to max point in 
EC (310),Elevation Certificates (310),0,,,,
EC (310),Map Information Service (320),1,,,,
EC (310),Outreach Projects (330),1,,,,
EC (310),Hazard Disclosure (340),0,,,,
EC (310),Flood Protection Information (350),1,,,,
EC (310),Flood Protection Assistance (360),1,,,,
EC (310),Flood Insurance Promotion (370),1,,,,
EC (310),Flood Hazard Mapping (410),1,,,,
EC (310),Open Space Preservation (420),0,,,,
EC (310),Higher Regulatory Standards (430),1,,,,
EC (310),Flood Data Maintenance (440),1,,,,
EC (310),Stormwater Management (450),0,,,,
EC (310),Floodplain Management Planning (510),0,,,,
EC (310),Acquisition and Relocation (520),0,,,,
EC (310),Flood Protection (530),0,,,,
EC (310),Drainage System Maintenance (540),0,,,,
EC (310),Flood Warning and Response (610),0,,,,
EC (310),Levees (620),0,,,,
EC (310),Dams (630),0,,,,
MI (320),Elevation Certificates (310),0,,,,
MI (320),Map Information Service (320),0,,,,
MI (320),Outreach Projects (330),1,,,,
MI (320),Hazard Disclosure (340),1,,,,
MI (320),Flood Protection Information (350),1,,,,
MI (320),Flood Protection Assistance (360),0,,,,
MI (320),Flood Insurance Promotion (370),1,,,,
MI (320),Flood Hazard Mapping (410),0,,,,
MI (320),Open Space Preservation (420),0,,,,
MI (320),Higher Regulatory Standards (430),0,,,,
MI (320),Flood Data Maintenance (440),1,,,,
MI (320),Stormwater Management (450),0,,,,
MI (320),Floodplain Management Planning (510),0,,,,
MI (320),Acquisition and Relocation (520),0,,,,
MI (320),Flood Protection (530),0,,,,
MI (320),Drainage System Maintenance (540),0,,,,
MI (320),Flood Warning and Response (610),0,,,,
MI (320),Levees (620),0,,,,
MI (320),Dams (630),0,,,,
OP (330),Elevation Certificates (310),0,,,,
OP (330),Map Information Service (320),1,,,,
OP (330),Outreach Projects (330),0,,,,
OP (330),Hazard Disclosure (340),0,,,,1
OP (330),Flood Protection Information (350),0,,,,
OP (330),Flood Protection Assistance (360),1,,,,
OP (330),Flood Insurance Promotion (370),1,,,,
OP (330),Flood Hazard Mapping (410),0,,,,
OP (330),Open Space Preservation (420),0,,,,
OP (330),Higher Regulatory Standards (430),0,,,,
OP (330),Flood Data Maintenance (440),0,,,,
OP (330),Stormwater Management (450),0,,,,
OP (330),Floodplain Management Planning (510),0,,,,
OP (330),Acquisition and Relocation (520),0,,,,
OP (330),Flood Protection (530),0,,,,
OP (330),Drainage System Maintenance (540),1,,,,
OP (330),Flood Warning and Response (610),1,,,,
OP (330),Levees (620),1,,,,
OP (330),Dams (630),1,,,,
HD (340),Elevation Certificates (310),0,,,,
HD (340),Map Information Service (320),0,,,,
HD (340),Outreach Projects (330),1,,,,
HD (340),Hazard Disclosure (340),0,,,,
HD (340),Flood Protection Information (350),0,,,,
HD (340),Flood Protection Assistance (360),0,,,,
HD (340),Flood Insurance Promotion (370),0,,,,
HD (340),Flood Hazard Mapping (410),0,,,,
HD (340),Open Space Preservation (420),0,,,,
HD (340),Higher Regulatory Standards (430),1,,,,
HD (340),Flood Data Maintenance (440),0,,,,
HD (340),Stormwater Management (450),0,,,,
HD (340),Floodplain Management Planning (510),0,,,,
HD (340),Acquisition and Relocation (520),0,,,,
HD (340),Flood Protection (530),0,,,,
HD (340),Drainage System Maintenance (540),0,,,,
HD (340),Flood Warning and Response (610),0,,,,
HD (340),Levees (620),0,,,,
HD (340),Dams (630),0,,,,
FPI (350),Elevation Certificates (310),1,,,,
FPI (350),Map Information Service (320),1,,,,
FPI (350),Outreach Projects (330),1,,,,
FPI (350),Hazard Disclosure (340),0,,,,
FPI (350),Flood Protection Information (350),0,,,,
FPI (350),Flood Protection Assistance (360),1,,,,
FPI (350),Flood Insurance Promotion (370),1,,,,
FPI (350),Flood Hazard Mapping (410),0,,,,
FPI (350),Open Space Preservation (420),0,,,,
FPI (350),Higher Regulatory Standards (430),1,,,,
FPI (350),Flood Data Maintenance (440),0,,,,
FPI (350),Stormwater Management (450),1,,,,
FPI (350),Floodplain Management Planning (510),0,,,,
FPI (350),Acquisition and Relocation (520),0,,,,
FPI (350),Flood Protection (530),0,,,,
FPI (350),Drainage System Maintenance (540),1,,,,
FPI (350),Flood Warning and Response (610),0,,,,
FPI (350),Levees (620),0,,,,
FPI (350),Dams (630),0,,,,
FPA (360),Elevation Certificates (310),0,,,,
FPA (360),Map Information Service (320),0,,,,
FPA (360),Outreach Projects (330),1,,,,
FPA (360),Hazard Disclosure (340),0,,,,
FPA (360),Flood Protection Information (350),1,,,,
FPA (360),Flood Protection Assistance (360),0,,,,
FPA (360),Flood Insurance Promotion (370),0,,,,
FPA (360),Flood Hazard Mapping (410),0,,,,
FPA (360),Open Space Preservation (420),0,,,,
FPA (360),Higher Regulatory Standards (430),0,,,,
